Occupation,Number
AGRICULTURE,7952
MINING,1244
UTILITIES,5813
CONSTRUCTION,226711
MANUFACTURING,315030
WHOLESALETRADE,188971
RETAILTRADE,499834
TRANSPORTATION,156542
INFORMATION,373581
FINANCEINSURANCE,126708
REALESTATERENTAL,88850
SCIENTIFICTECHNICAL,399492
ENTERPRISEMANAGEMENT,94516
WASTEMANAGEMENT,223083
EDUCATION,73614
HEALTHCARE,476480
ART,79193
FOOD,350659
OTHER,144458
