SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS
75544.0,4414.0,6072.0,1138.0,3606.0,781.0,44.0,2.0,22.0,0.0,8377.0,24456.0,16057.0,0.0,0.0
72195.0,4947.0,6691.0,1221.0,4132.0,883.0,53.0,4.0,28.0,2.0,9844.0,27805.0,17933.0,0.0,0.0
68672.0,5430.0,7259.0,1270.0,4802.0,1016.0,60.0,2.0,39.0,0.0,11450.0,31328.0,19839.0,0.0,0.0
65039.0,5869.0,7803.0,1359.0,5310.0,1112.0,51.0,1.0,49.0,0.0,13407.0,34961.0,21505.0,0.0,0.0
61233.0,6334.0,8271.0,1390.0,5855.0,1273.0,68.0,8.0,57.0,0.0,15511.0,38767.0,23199.0,0.0,0.0
57447.0,6710.0,8578.0,1436.0,6343.0,1327.0,95.0,3.0,65.0,3.0,17993.0,42553.0,24495.0,0.0,0.0
53730.0,6988.0,8697.0,1428.0,6892.0,1437.0,97.0,7.0,74.0,0.0,20650.0,46270.0,25546.0,0.0,0.0
50059.0,7145.0,8757.0,1444.0,7340.0,1482.0,114.0,5.0,88.0,2.0,23564.0,49941.0,26289.0,0.0,0.0
46556.0,7256.0,8630.0,1464.0,7695.0,1528.0,140.0,5.0,105.0,1.0,26620.0,53444.0,26719.0,0.0,0.0
43172.0,7312.0,8406.0,1384.0,7948.0,1601.0,141.0,7.0,125.0,1.0,29903.0,56828.0,26800.0,0.0,0.0
40113.0,7220.0,7967.0,1261.0,8122.0,1635.0,179.0,5.0,146.0,3.0,33349.0,59887.0,26392.0,0.0,0.0
37228.0,6979.0,7593.0,1179.0,8055.0,1623.0,174.0,8.0,173.0,1.0,36987.0,62772.0,25612.0,0.0,0.0
34686.0,6656.0,7002.0,1106.0,7980.0,1534.0,192.0,7.0,200.0,1.0,40636.0,65314.0,24478.0,0.0,0.0
32402.0,6273.0,6461.0,978.0,7703.0,1478.0,184.0,9.0,234.0,1.0,44277.0,67598.0,23087.0,0.0,0.0
30453.0,5806.0,5793.0,875.0,7384.0,1413.0,171.0,10.0,268.0,1.0,47826.0,69547.0,21453.0,0.0,0.0
28707.0,5289.0,5167.0,757.0,6973.0,1325.0,166.0,11.0,296.0,1.0,51308.0,71293.0,19689.0,0.0,0.0
27181.0,4802.0,4546.0,665.0,6484.0,1236.0,180.0,7.0,331.0,3.0,54565.0,72819.0,17923.0,0.0,0.0
25824.0,4276.0,4021.0,606.0,5862.0,1110.0,177.0,12.0,362.0,1.0,57749.0,74176.0,16065.0,0.0,0.0
24673.0,3779.0,3470.0,561.0,5370.0,974.0,169.0,11.0,384.0,3.0,60606.0,75327.0,14337.0,0.0,0.0
23742.0,3290.0,3022.0,480.0,4685.0,876.0,150.0,15.0,414.0,4.0,63322.0,76258.0,12522.0,0.0,0.0
22953.0,2867.0,2561.0,404.0,4185.0,794.0,136.0,12.0,444.0,3.0,65641.0,77047.0,10962.0,0.0,0.0
22280.0,2450.0,2193.0,323.0,3664.0,697.0,145.0,5.0,471.0,2.0,67770.0,77720.0,9479.0,0.0,0.0
21712.0,2124.0,1867.0,262.0,3206.0,635.0,126.0,11.0,498.0,1.0,69558.0,78288.0,8232.0,0.0,0.0
21244.0,1801.0,1549.0,211.0,2776.0,560.0,113.0,7.0,522.0,2.0,71215.0,78756.0,7019.0,0.0,0.0
20850.0,1521.0,1306.0,186.0,2377.0,458.0,102.0,8.0,547.0,2.0,72643.0,79150.0,5960.0,0.0,0.0
20519.0,1289.0,1127.0,160.0,2030.0,383.0,82.0,7.0,573.0,1.0,73829.0,79481.0,5079.0,0.0,0.0
20203.0,1098.0,950.0,131.0,1734.0,317.0,73.0,7.0,586.0,3.0,74898.0,79797.0,4313.0,0.0,0.0
19951.0,935.0,797.0,98.0,1460.0,251.0,62.0,7.0,600.0,1.0,75838.0,80049.0,3611.0,0.0,0.0
19740.0,799.0,698.0,79.0,1191.0,223.0,49.0,4.0,611.0,5.0,76601.0,80260.0,3048.0,0.0,0.0
19598.0,669.0,584.0,57.0,1018.0,182.0,41.0,1.0,624.0,2.0,77224.0,80402.0,2554.0,0.0,0.0
19442.0,578.0,477.0,48.0,870.0,153.0,26.0,6.0,625.0,1.0,77774.0,80558.0,2159.0,0.0,0.0
19335.0,481.0,379.0,41.0,775.0,128.0,27.0,4.0,634.0,0.0,78196.0,80665.0,1835.0,0.0,0.0
19238.0,407.0,300.0,36.0,649.0,96.0,29.0,3.0,641.0,1.0,78600.0,80762.0,1521.0,0.0,0.0
19168.0,338.0,247.0,33.0,533.0,76.0,24.0,2.0,646.0,1.0,78932.0,80832.0,1254.0,0.0,0.0
19108.0,281.0,201.0,32.0,433.0,57.0,18.0,1.0,653.0,0.0,79216.0,80892.0,1023.0,0.0,0.0
19059.0,239.0,159.0,25.0,350.0,47.0,15.0,2.0,659.0,0.0,79445.0,80941.0,837.0,0.0,0.0
19005.0,193.0,152.0,23.0,280.0,38.0,14.0,1.0,661.0,0.0,79633.0,80995.0,701.0,0.0,0.0
18957.0,157.0,141.0,19.0,233.0,35.0,9.0,1.0,665.0,1.0,79782.0,81043.0,596.0,0.0,0.0
18920.0,133.0,120.0,13.0,190.0,36.0,4.0,0.0,669.0,0.0,79915.0,81080.0,496.0,0.0,0.0
18889.0,111.0,101.0,15.0,165.0,28.0,5.0,0.0,670.0,0.0,80016.0,81111.0,425.0,0.0,0.0
18876.0,91.0,77.0,13.0,153.0,23.0,1.0,0.0,671.0,0.0,80095.0,81124.0,358.0,0.0,0.0
18861.0,66.0,68.0,10.0,121.0,22.0,5.0,0.0,671.0,0.0,80176.0,81139.0,292.0,0.0,0.0
18845.0,57.0,51.0,7.0,106.0,23.0,3.0,0.0,671.0,0.0,80237.0,81155.0,247.0,0.0,0.0
18825.0,49.0,43.0,5.0,89.0,19.0,4.0,0.0,671.0,0.0,80295.0,81175.0,209.0,0.0,0.0
18806.0,40.0,46.0,4.0,74.0,18.0,2.0,0.0,672.0,0.0,80338.0,81194.0,184.0,0.0,0.0
18798.0,35.0,35.0,5.0,70.0,10.0,4.0,1.0,672.0,0.0,80370.0,81202.0,160.0,0.0,0.0
18789.0,34.0,30.0,3.0,57.0,10.0,2.0,0.0,672.0,1.0,80402.0,81211.0,137.0,0.0,0.0
18782.0,32.0,29.0,3.0,44.0,6.0,2.0,0.0,672.0,0.0,80430.0,81218.0,116.0,0.0,0.0
18776.0,25.0,25.0,1.0,36.0,7.0,0.0,1.0,673.0,0.0,80456.0,81224.0,95.0,0.0,0.0
18773.0,21.0,16.0,1.0,36.0,7.0,1.0,0.0,674.0,0.0,80471.0,81227.0,82.0,0.0,0.0
18767.0,19.0,13.0,2.0,32.0,3.0,2.0,0.0,674.0,0.0,80488.0,81233.0,71.0,0.0,0.0
18759.0,12.0,14.0,2.0,25.0,2.0,2.0,0.0,674.0,0.0,80510.0,81241.0,57.0,0.0,0.0
18755.0,11.0,13.0,2.0,20.0,0.0,1.0,0.0,675.0,0.0,80523.0,81245.0,47.0,0.0,0.0
18752.0,11.0,6.0,2.0,22.0,0.0,0.0,0.0,676.0,0.0,80531.0,81248.0,41.0,0.0,0.0
18750.0,12.0,6.0,2.0,17.0,0.0,0.0,0.0,676.0,0.0,80537.0,81250.0,37.0,0.0,0.0
18749.0,11.0,6.0,1.0,7.0,1.0,0.0,0.0,676.0,0.0,80549.0,81251.0,26.0,0.0,0.0
18748.0,10.0,2.0,0.0,7.0,2.0,0.0,0.0,676.0,0.0,80555.0,81252.0,21.0,0.0,0.0
18746.0,10.0,3.0,0.0,5.0,2.0,0.0,0.0,676.0,0.0,80558.0,81254.0,20.0,0.0,0.0
18745.0,9.0,1.0,0.0,6.0,2.0,0.0,0.0,676.0,0.0,80561.0,81255.0,18.0,0.0,0.0
18744.0,7.0,1.0,0.0,4.0,2.0,0.0,0.0,676.0,0.0,80566.0,81256.0,14.0,0.0,0.0
18744.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0,676.0,0.0,80569.0,81256.0,11.0,0.0,0.0
18743.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,676.0,0.0,80574.0,81257.0,7.0,0.0,0.0
18743.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,676.0,0.0,80577.0,81257.0,4.0,0.0,0.0
18743.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,676.0,0.0,80579.0,81257.0,2.0,0.0,0.0
18743.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,676.0,0.0,80579.0,81257.0,2.0,0.0,0.0
18740.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,676.0,0.0,80579.0,81260.0,5.0,0.0,0.0
18740.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,676.0,0.0,80579.0,81260.0,5.0,0.0,0.0
18739.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,676.0,0.0,80579.0,81261.0,6.0,0.0,0.0
18739.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,676.0,0.0,80580.0,81261.0,5.0,0.0,0.0
18738.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,676.0,0.0,80580.0,81262.0,6.0,0.0,0.0
18737.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,676.0,0.0,80581.0,81263.0,6.0,0.0,0.0
18737.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,676.0,0.0,80583.0,81263.0,4.0,0.0,0.0
18737.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,676.0,0.0,80583.0,81263.0,4.0,0.0,0.0
18737.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,676.0,0.0,80583.0,81263.0,4.0,0.0,0.0
18737.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,676.0,0.0,80585.0,81263.0,2.0,0.0,0.0
18737.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,676.0,0.0,80586.0,81263.0,1.0,0.0,0.0
18737.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,676.0,0.0,80586.0,81263.0,1.0,0.0,0.0
18737.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,676.0,0.0,80586.0,81263.0,1.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
18737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,80587.0,81263.0,0.0,0.0,0.0
