SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99994.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
99993.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0
99991.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,0.0,0.0
99986.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,11.0,0.0,0.0
99985.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,11.0,0.0,0.0
99984.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0,0.0,0.0
99981.0,3.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,15.0,0.0,0.0
99974.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,18.0,0.0,0.0
99968.0,6.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,23.0,0.0,0.0
99965.0,7.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,35.0,24.0,0.0,0.0
99961.0,7.0,14.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,39.0,26.0,0.0,0.0
99956.0,7.0,13.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,16.0,44.0,28.0,0.0,0.0
99946.0,6.0,17.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,19.0,54.0,35.0,0.0,0.0
99934.0,9.0,23.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,21.0,66.0,45.0,0.0,0.0
99913.0,14.0,32.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,25.0,87.0,62.0,0.0,0.0
99902.0,20.0,31.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,31.0,98.0,67.0,0.0,0.0
99890.0,21.0,35.0,5.0,14.0,1.0,0.0,0.0,0.0,0.0,34.0,110.0,76.0,0.0,0.0
99874.0,22.0,32.0,5.0,24.0,2.0,0.0,0.0,0.0,0.0,41.0,126.0,85.0,0.0,0.0
99838.0,28.0,43.0,9.0,34.0,1.0,0.0,0.0,0.0,0.0,47.0,162.0,115.0,0.0,0.0
99792.0,37.0,68.0,12.0,30.0,3.0,0.0,0.0,0.0,0.0,58.0,208.0,150.0,0.0,0.0
99748.0,43.0,92.0,16.0,26.0,3.0,0.0,0.0,0.0,0.0,72.0,252.0,180.0,0.0,0.0
99710.0,50.0,100.0,21.0,29.0,5.0,0.0,0.0,0.0,0.0,85.0,290.0,205.0,0.0,0.0
99670.0,56.0,101.0,23.0,43.0,8.0,0.0,0.0,0.0,0.0,99.0,330.0,231.0,0.0,0.0
99614.0,66.0,107.0,21.0,62.0,14.0,1.0,0.0,0.0,0.0,115.0,386.0,271.0,0.0,0.0
99526.0,80.0,138.0,31.0,77.0,17.0,0.0,0.0,0.0,0.0,131.0,474.0,343.0,0.0,0.0
99427.0,106.0,170.0,35.0,95.0,22.0,0.0,0.0,0.0,0.0,145.0,573.0,428.0,0.0,0.0
99285.0,140.0,204.0,45.0,123.0,26.0,0.0,0.0,0.0,0.0,177.0,715.0,538.0,0.0,0.0
99136.0,164.0,260.0,60.0,132.0,26.0,1.0,0.0,0.0,0.0,221.0,864.0,643.0,0.0,0.0
98956.0,213.0,325.0,70.0,134.0,31.0,0.0,0.0,0.0,0.0,271.0,1044.0,773.0,0.0,0.0
98773.0,259.0,348.0,72.0,179.0,38.0,2.0,0.0,0.0,0.0,329.0,1227.0,898.0,0.0,0.0
98529.0,300.0,415.0,90.0,223.0,47.0,3.0,0.0,0.0,0.0,393.0,1471.0,1078.0,0.0,0.0
98223.0,354.0,522.0,102.0,260.0,63.0,4.0,0.0,0.0,0.0,472.0,1777.0,1305.0,0.0,0.0
97854.0,433.0,641.0,125.0,300.0,73.0,4.0,0.0,2.0,0.0,568.0,2146.0,1576.0,0.0,0.0
97405.0,504.0,771.0,156.0,359.0,85.0,5.0,0.0,2.0,0.0,713.0,2595.0,1880.0,0.0,0.0
96882.0,619.0,932.0,191.0,430.0,95.0,6.0,1.0,2.0,0.0,842.0,3118.0,2274.0,0.0,0.0
96303.0,738.0,1052.0,236.0,547.0,109.0,6.0,1.0,4.0,0.0,1004.0,3697.0,2689.0,0.0,0.0
95580.0,905.0,1243.0,273.0,652.0,143.0,9.0,0.0,6.0,0.0,1189.0,4420.0,3225.0,0.0,0.0
94702.0,1085.0,1525.0,296.0,753.0,179.0,9.0,1.0,7.0,0.0,1443.0,5298.0,3848.0,0.0,0.0
93692.0,1294.0,1821.0,322.0,881.0,214.0,8.0,1.0,8.0,0.0,1759.0,6308.0,4541.0,0.0,0.0
92439.0,1566.0,2167.0,404.0,1062.0,238.0,10.0,0.0,9.0,0.0,2105.0,7561.0,5447.0,0.0,0.0
91118.0,1811.0,2520.0,480.0,1253.0,271.0,15.0,0.0,11.0,0.0,2521.0,8882.0,6350.0,0.0,0.0
89528.0,2112.0,2910.0,553.0,1539.0,338.0,14.0,1.0,11.0,0.0,2994.0,10472.0,7467.0,0.0,0.0
87748.0,2423.0,3344.0,628.0,1814.0,385.0,17.0,2.0,14.0,1.0,3624.0,12252.0,8614.0,0.0,0.0
85622.0,2777.0,3904.0,753.0,2117.0,432.0,27.0,1.0,17.0,1.0,4349.0,14378.0,10012.0,0.0,0.0
83226.0,3196.0,4491.0,853.0,2496.0,513.0,29.0,1.0,20.0,0.0,5175.0,16774.0,11579.0,0.0,0.0
80560.0,3692.0,5059.0,978.0,2909.0,607.0,30.0,2.0,22.0,0.0,6141.0,19440.0,13277.0,0.0,0.0
77607.0,4205.0,5738.0,1085.0,3272.0,709.0,43.0,3.0,24.0,2.0,7312.0,22393.0,15057.0,0.0,0.0
74440.0,4710.0,6361.0,1157.0,3772.0,832.0,50.0,4.0,32.0,0.0,8642.0,25560.0,16886.0,0.0,0.0
71010.0,5267.0,6958.0,1265.0,4328.0,947.0,50.0,1.0,41.0,0.0,10133.0,28990.0,18816.0,0.0,0.0
67450.0,5705.0,7549.0,1314.0,4917.0,1075.0,59.0,2.0,44.0,1.0,11884.0,32550.0,20622.0,0.0,0.0
63594.0,6245.0,8085.0,1398.0,5512.0,1182.0,77.0,2.0,55.0,0.0,13850.0,36406.0,22501.0,0.0,0.0
59759.0,6612.0,8495.0,1432.0,6031.0,1296.0,78.0,1.0,65.0,1.0,16230.0,40241.0,23946.0,0.0,0.0
55909.0,6964.0,8721.0,1456.0,6636.0,1376.0,95.0,3.0,75.0,0.0,18765.0,44091.0,25251.0,0.0,0.0
52207.0,7219.0,8741.0,1473.0,7177.0,1480.0,116.0,6.0,87.0,0.0,21494.0,47793.0,26212.0,0.0,0.0
48443.0,7394.0,8828.0,1507.0,7581.0,1514.0,129.0,8.0,96.0,4.0,24496.0,51557.0,26965.0,0.0,0.0
44916.0,7354.0,8769.0,1494.0,7863.0,1570.0,145.0,7.0,116.0,2.0,27764.0,55084.0,27204.0,0.0,0.0
41636.0,7348.0,8478.0,1432.0,8106.0,1582.0,140.0,12.0,137.0,2.0,31127.0,58364.0,27100.0,0.0,0.0
38658.0,7110.0,7973.0,1319.0,8250.0,1604.0,151.0,5.0,163.0,3.0,34764.0,61342.0,26415.0,0.0,0.0
35932.0,6761.0,7424.0,1206.0,8326.0,1579.0,162.0,8.0,183.0,1.0,38418.0,64068.0,25467.0,0.0,0.0
33452.0,6391.0,6836.0,1066.0,8194.0,1584.0,165.0,4.0,208.0,2.0,42098.0,66548.0,24242.0,0.0,0.0
31237.0,6041.0,6231.0,936.0,7861.0,1560.0,161.0,7.0,228.0,1.0,45737.0,68763.0,22798.0,0.0,0.0
29337.0,5529.0,5588.0,838.0,7351.0,1482.0,156.0,14.0,250.0,4.0,49451.0,70663.0,20962.0,0.0,0.0
27709.0,5119.0,4931.0,725.0,6807.0,1346.0,161.0,10.0,282.0,1.0,52909.0,72291.0,19100.0,0.0,0.0
26305.0,4566.0,4289.0,662.0,6307.0,1208.0,174.0,5.0,312.0,4.0,56168.0,73695.0,17215.0,0.0,0.0
25125.0,4021.0,3695.0,560.0,5776.0,1096.0,176.0,7.0,339.0,0.0,59205.0,74875.0,15331.0,0.0,0.0
24102.0,3502.0,3274.0,469.0,5082.0,956.0,168.0,11.0,369.0,0.0,62067.0,75898.0,13462.0,0.0,0.0
23264.0,3054.0,2794.0,392.0,4485.0,837.0,161.0,14.0,393.0,4.0,64602.0,76736.0,11741.0,0.0,0.0
22512.0,2660.0,2347.0,319.0,3967.0,728.0,154.0,13.0,420.0,3.0,66877.0,77488.0,10191.0,0.0,0.0
21872.0,2310.0,2004.0,258.0,3443.0,641.0,133.0,12.0,452.0,4.0,68871.0,78128.0,8805.0,0.0,0.0
21334.0,1996.0,1699.0,212.0,2993.0,570.0,99.0,19.0,474.0,3.0,70601.0,78666.0,7591.0,0.0,0.0
20871.0,1718.0,1441.0,190.0,2578.0,475.0,92.0,12.0,502.0,4.0,72117.0,79129.0,6510.0,0.0,0.0
20512.0,1481.0,1188.0,179.0,2185.0,375.0,88.0,7.0,521.0,7.0,73457.0,79488.0,5510.0,0.0,0.0
20197.0,1266.0,986.0,150.0,1865.0,314.0,83.0,3.0,534.0,2.0,74600.0,79803.0,4669.0,0.0,0.0
19911.0,1067.0,855.0,129.0,1585.0,276.0,58.0,9.0,542.0,2.0,75566.0,80089.0,3981.0,0.0,0.0
19696.0,914.0,738.0,106.0,1292.0,236.0,46.0,6.0,556.0,3.0,76407.0,80304.0,3341.0,0.0,0.0
19523.0,765.0,614.0,94.0,1074.0,191.0,46.0,6.0,569.0,1.0,77117.0,80477.0,2791.0,0.0,0.0
19356.0,636.0,519.0,76.0,895.0,164.0,41.0,0.0,578.0,1.0,77734.0,80644.0,2332.0,0.0,0.0
19247.0,527.0,427.0,64.0,768.0,144.0,32.0,3.0,581.0,0.0,78207.0,80753.0,1965.0,0.0,0.0
19151.0,446.0,332.0,49.0,670.0,127.0,30.0,1.0,591.0,1.0,78602.0,80849.0,1656.0,0.0,0.0
19067.0,374.0,265.0,40.0,561.0,106.0,21.0,2.0,597.0,1.0,78966.0,80933.0,1370.0,0.0,0.0
19011.0,318.0,193.0,35.0,486.0,93.0,18.0,2.0,602.0,0.0,79242.0,80989.0,1145.0,0.0,0.0
18942.0,271.0,165.0,31.0,419.0,77.0,17.0,0.0,607.0,0.0,79471.0,81058.0,980.0,0.0,0.0
18886.0,230.0,156.0,25.0,307.0,68.0,14.0,0.0,609.0,0.0,79705.0,81114.0,800.0,0.0,0.0
18842.0,185.0,137.0,22.0,248.0,52.0,15.0,1.0,612.0,0.0,79886.0,81158.0,660.0,0.0,0.0
18803.0,159.0,117.0,23.0,201.0,43.0,9.0,0.0,617.0,0.0,80028.0,81197.0,552.0,0.0,0.0
18775.0,142.0,86.0,15.0,179.0,36.0,12.0,0.0,618.0,0.0,80137.0,81225.0,470.0,0.0,0.0
18747.0,126.0,80.0,9.0,141.0,30.0,11.0,1.0,619.0,0.0,80236.0,81253.0,398.0,0.0,0.0
18726.0,105.0,70.0,8.0,113.0,25.0,11.0,0.0,621.0,0.0,80321.0,81274.0,332.0,0.0,0.0
18709.0,85.0,58.0,9.0,98.0,25.0,9.0,2.0,622.0,0.0,80383.0,81291.0,286.0,0.0,0.0
18688.0,81.0,47.0,8.0,84.0,16.0,7.0,3.0,626.0,0.0,80440.0,81312.0,246.0,0.0,0.0
18678.0,72.0,42.0,5.0,69.0,12.0,3.0,0.0,631.0,0.0,80488.0,81322.0,203.0,0.0,0.0
18674.0,53.0,25.0,4.0,62.0,12.0,1.0,1.0,631.0,0.0,80537.0,81326.0,158.0,0.0,0.0
