SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE,AGE_0_9,AGE_10_19,AGE_20_29,AGE_30_39,AGE_40_49,AGE_50_59,AGE_60_69,AGE_70_79,AGE_80,AGRICULTURE,MINING,UTILITIES,CONSTRUCTION,MANUFACTURING,WHOLESALETRADE,RETAILTRADE,TRANSPORTATION,INFORMATION,FINANCEINSURANCE,REALESTATERENTAL,SCIENTIFICTECHNICAL,ENTERPRISEMANAGEMENT,WASTEMANAGEMENT,EDUCATION,HEALTHCARE,ART,FOOD,OTHER,ELDERLY,CHILD,INFECTED AGENTS
99969.0,10.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,27.0,0.0,0.0,300.0,2.0,2.0,6.0,3.0,2.0,5.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,4.0,1.0,5.0,4.0,"[[848], [9944], [19942], [28922], [33260], [79321], [91320]]"
99958.0,13.0,9.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,42.0,34.0,0.0,0.0,300.0,3.0,3.0,9.0,4.0,3.0,7.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,6.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,5.0,1.0,6.0,6.0,"[[2749], [5297], [10341], [10519], [80018], [81836], [84263], [87586], [89116], [89407], [95266]]"
99950.0,11.0,11.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,50.0,36.0,0.0,0.0,300.0,3.0,3.0,9.0,6.0,5.0,8.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,8.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,6.0,1.0,7.0,6.0,"[[11975], [40508], [41481], [54972], [80807], [82513], [87564], [93969]]"
99942.0,13.0,13.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,14.0,58.0,44.0,0.0,0.0,300.0,3.0,5.0,10.0,8.0,7.0,8.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,9.0,1.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,6.0,1.0,7.0,8.0,"[[1277], [10328], [33225], [49062], [51858], [63030], [66092], [87611]]"
99929.0,16.0,20.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,18.0,71.0,53.0,0.0,0.0,300.0,3.0,5.0,13.0,13.0,9.0,9.0,12.0,6.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,2.0,9.0,1.0,1.0,6.0,0.0,5.0,1.0,6.0,1.0,8.0,1.0,7.0,8.0,"[[9915], [17387], [33259], [42675], [42676], [42734], [50926], [53015], [54910], [73309], [86774], [87118], [94374]]"
99906.0,26.0,25.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,24.0,94.0,70.0,0.0,0.0,300.0,4.0,6.0,17.0,17.0,16.0,9.0,15.0,9.0,1.0,0.0,0.0,0.0,2.0,7.0,10.0,7.0,2.0,10.0,2.0,1.0,6.0,0.0,5.0,1.0,10.0,1.0,9.0,1.0,10.0,10.0,"[[9943], [10359], [11561], [23534], [28317], [36505], [42731], [52947], [57951], [61219], [68187], [69298], [74656], [76366], [79334], [81936], [84134], [84174], [88385], [89402], [92467], [95252], [95487]]"
99882.0,34.0,34.0,9.0,10.0,2.0,0.0,0.0,0.0,0.0,29.0,118.0,89.0,0.0,0.0,300.0,4.0,10.0,17.0,20.0,24.0,13.0,17.0,12.0,1.0,0.0,0.0,0.0,3.0,9.0,12.0,8.0,2.0,12.0,2.0,1.0,8.0,0.0,8.0,1.0,14.0,1.0,9.0,1.0,13.0,14.0,"[[849], [873], [2095], [4990], [11879], [18425], [23438], [37864], [41310], [41772], [46540], [51852], [51857], [55889], [56173], [59075], [82488], [87599], [89143], [89408], [89426], [90611], [92851], [93392]]"
99867.0,32.0,34.0,9.0,18.0,4.0,0.0,0.0,0.0,0.0,36.0,133.0,97.0,0.0,0.0,300.0,5.0,10.0,19.0,22.0,30.0,14.0,20.0,12.0,1.0,0.0,0.0,0.0,4.0,10.0,12.0,11.0,4.0,12.0,2.0,2.0,8.0,0.0,8.0,1.0,18.0,1.0,11.0,1.0,13.0,15.0,"[[9941], [9942], [10322], [10338], [11990], [12039], [14776], [28914], [28939], [42633], [48316], [73567], [74812], [94902], [97439]]"
99841.0,43.0,37.0,7.0,25.0,8.0,0.0,0.0,0.0,0.0,39.0,159.0,120.0,0.0,0.0,300.0,5.0,11.0,23.0,28.0,35.0,18.0,22.0,15.0,2.0,1.0,0.0,0.0,7.0,10.0,12.0,14.0,4.0,14.0,2.0,3.0,9.0,0.0,9.0,1.0,22.0,1.0,14.0,3.0,17.0,16.0,"[[1272], [9953], [10529], [13461], [17855], [21327], [23569], [27020], [27568], [30307], [31507], [34882], [36504], [36523], [41061], [47069], [59244], [73308], [73386], [73715], [82493], [91477], [93062], [93670], [94511], [95229]]"
99800.0,55.0,54.0,9.0,30.0,9.0,1.0,0.0,0.0,0.0,42.0,200.0,158.0,0.0,0.0,300.0,7.0,12.0,28.0,37.0,40.0,26.0,27.0,20.0,3.0,1.0,0.0,0.0,8.0,15.0,13.0,19.0,5.0,19.0,2.0,4.0,11.0,1.0,9.0,2.0,28.0,2.0,16.0,3.0,23.0,19.0,"[[144], [2748], [3897], [6586], [8623], [9342], [10395], [10479], [10496], [13818], [14573], [15145], [15944], [21132], [23404], [25587], [33076], [41363], [41480], [42482], [42695], [42699], [42751], [50618], [54082], [58781], [61272], [63029], [74013], [76381], [80801], [83068], [86472], [87085], [87109], [87119], [91658], [92461], [94197], [95251], [95918]]"
