SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS
74782.0,4671.0,5890.0,798.0,3760.0,657.0,27.0,1.0,22.0,0.0,9392.0,25218.0,15804.0,0.0,0.0
71706.0,5102.0,6418.0,862.0,4286.0,734.0,33.0,2.0,23.0,1.0,10833.0,28294.0,17438.0,0.0,0.0
68550.0,5478.0,6901.0,943.0,4707.0,769.0,32.0,2.0,28.0,1.0,12589.0,31450.0,18833.0,0.0,0.0
65351.0,5779.0,7215.0,1029.0,5195.0,817.0,44.0,1.0,31.0,1.0,14537.0,34649.0,20081.0,0.0,0.0
62119.0,6054.0,7425.0,1076.0,5687.0,864.0,55.0,4.0,34.0,0.0,16682.0,37881.0,21165.0,0.0,0.0
58885.0,6295.0,7537.0,1103.0,6123.0,936.0,62.0,1.0,39.0,3.0,19016.0,41115.0,22060.0,0.0,0.0
55851.0,6415.0,7539.0,1018.0,6453.0,1031.0,64.0,2.0,42.0,1.0,21584.0,44149.0,22523.0,0.0,0.0
52875.0,6459.0,7307.0,1002.0,6732.0,1095.0,85.0,2.0,51.0,1.0,24391.0,47125.0,22683.0,0.0,0.0
50008.0,6489.0,7098.0,947.0,6964.0,1120.0,74.0,7.0,57.0,0.0,27236.0,49992.0,22699.0,0.0,0.0
47404.0,6362.0,6808.0,906.0,7011.0,1119.0,65.0,7.0,67.0,2.0,30249.0,52596.0,22280.0,0.0,0.0
45039.0,6119.0,6419.0,807.0,6947.0,1121.0,72.0,7.0,76.0,1.0,33392.0,54961.0,21493.0,0.0,0.0
42803.0,5813.0,6042.0,748.0,6805.0,1098.0,78.0,1.0,87.0,2.0,36523.0,57197.0,20587.0,0.0,0.0
40884.0,5378.0,5549.0,680.0,6602.0,1054.0,94.0,4.0,92.0,0.0,39663.0,59116.0,19361.0,0.0,0.0
39189.0,4973.0,5044.0,614.0,6296.0,981.0,97.0,3.0,99.0,1.0,42703.0,60811.0,18009.0,0.0,0.0
37626.0,4565.0,4578.0,523.0,6009.0,906.0,92.0,6.0,106.0,1.0,45588.0,62374.0,16680.0,0.0,0.0
36264.0,4144.0,4099.0,438.0,5569.0,831.0,82.0,5.0,122.0,1.0,48445.0,63736.0,15169.0,0.0,0.0
35095.0,3735.0,3563.0,388.0,5175.0,736.0,95.0,7.0,132.0,2.0,51072.0,64905.0,13701.0,0.0,0.0
34083.0,3348.0,3119.0,357.0,4668.0,659.0,68.0,7.0,139.0,1.0,53551.0,65917.0,12227.0,0.0,0.0
33239.0,2971.0,2664.0,305.0,4219.0,599.0,65.0,5.0,149.0,1.0,55783.0,66761.0,10829.0,0.0,0.0
32494.0,2599.0,2339.0,256.0,3712.0,531.0,53.0,5.0,161.0,2.0,57848.0,67506.0,9497.0,0.0,0.0
31906.0,2274.0,1943.0,200.0,3295.0,458.0,60.0,4.0,169.0,0.0,59691.0,68094.0,8234.0,0.0,0.0
31385.0,1970.0,1653.0,162.0,2851.0,414.0,50.0,3.0,175.0,0.0,61337.0,68615.0,7103.0,0.0,0.0
30988.0,1713.0,1382.0,144.0,2479.0,340.0,62.0,2.0,180.0,1.0,62709.0,69012.0,6123.0,0.0,0.0
30620.0,1479.0,1160.0,118.0,2129.0,279.0,49.0,6.0,186.0,0.0,63974.0,69380.0,5220.0,0.0,0.0
30309.0,1223.0,987.0,101.0,1846.0,232.0,36.0,3.0,195.0,1.0,65067.0,69691.0,4429.0,0.0,0.0
30033.0,1021.0,847.0,86.0,1562.0,188.0,38.0,2.0,206.0,0.0,66017.0,69967.0,3744.0,0.0,0.0
29792.0,865.0,752.0,79.0,1280.0,149.0,25.0,4.0,209.0,1.0,66844.0,70208.0,3155.0,0.0,0.0
29629.0,718.0,635.0,63.0,1076.0,136.0,15.0,5.0,213.0,0.0,67510.0,70371.0,2648.0,0.0,0.0
29486.0,614.0,509.0,47.0,920.0,115.0,20.0,1.0,219.0,1.0,68068.0,70514.0,2227.0,0.0,0.0
29368.0,523.0,403.0,41.0,794.0,95.0,11.0,1.0,222.0,0.0,68542.0,70632.0,1868.0,0.0,0.0
29261.0,446.0,340.0,25.0,658.0,84.0,15.0,0.0,224.0,0.0,68947.0,70739.0,1568.0,0.0,0.0
29164.0,371.0,278.0,25.0,573.0,70.0,10.0,2.0,225.0,0.0,69282.0,70836.0,1329.0,0.0,0.0
29084.0,325.0,233.0,23.0,474.0,53.0,9.0,4.0,226.0,1.0,69568.0,70916.0,1122.0,0.0,0.0
29016.0,281.0,204.0,18.0,397.0,48.0,7.0,1.0,229.0,1.0,69798.0,70984.0,957.0,0.0,0.0
28971.0,245.0,173.0,16.0,302.0,30.0,8.0,1.0,231.0,1.0,70022.0,71029.0,776.0,0.0,0.0
28937.0,212.0,135.0,13.0,250.0,23.0,4.0,0.0,231.0,1.0,70194.0,71063.0,638.0,0.0,0.0
28909.0,174.0,104.0,5.0,221.0,23.0,1.0,0.0,232.0,0.0,70331.0,71091.0,528.0,0.0,0.0
28881.0,139.0,84.0,3.0,182.0,22.0,1.0,1.0,232.0,0.0,70455.0,71119.0,432.0,0.0,0.0
28865.0,105.0,74.0,3.0,143.0,16.0,1.0,0.0,233.0,0.0,70560.0,71135.0,342.0,0.0,0.0
28840.0,82.0,64.0,2.0,117.0,13.0,0.0,0.0,233.0,0.0,70649.0,71160.0,278.0,0.0,0.0
28827.0,60.0,62.0,2.0,105.0,8.0,0.0,0.0,233.0,0.0,70703.0,71173.0,237.0,0.0,0.0
28814.0,47.0,50.0,1.0,80.0,7.0,2.0,0.0,233.0,0.0,70766.0,71186.0,187.0,0.0,0.0
28807.0,38.0,38.0,1.0,71.0,4.0,1.0,0.0,233.0,0.0,70807.0,71193.0,153.0,0.0,0.0
28798.0,28.0,37.0,1.0,61.0,2.0,1.0,0.0,233.0,0.0,70839.0,71202.0,130.0,0.0,0.0
28792.0,25.0,22.0,1.0,57.0,1.0,0.0,1.0,233.0,0.0,70868.0,71208.0,107.0,0.0,0.0
28787.0,23.0,18.0,1.0,47.0,0.0,0.0,0.0,234.0,0.0,70890.0,71213.0,89.0,0.0,0.0
28782.0,19.0,15.0,0.0,35.0,1.0,0.0,0.0,234.0,0.0,70914.0,71218.0,70.0,0.0,0.0
28779.0,19.0,15.0,0.0,26.0,1.0,0.0,0.0,234.0,0.0,70926.0,71221.0,61.0,0.0,0.0
28776.0,16.0,11.0,0.0,18.0,1.0,0.0,0.0,234.0,0.0,70944.0,71224.0,46.0,0.0,0.0
28771.0,15.0,9.0,0.0,17.0,0.0,0.0,0.0,234.0,0.0,70954.0,71229.0,41.0,0.0,0.0
28767.0,10.0,11.0,0.0,15.0,0.0,0.0,0.0,234.0,0.0,70963.0,71233.0,36.0,0.0,0.0
28766.0,10.0,9.0,0.0,13.0,0.0,0.0,0.0,234.0,0.0,70968.0,71234.0,32.0,0.0,0.0
28765.0,8.0,9.0,0.0,11.0,0.0,0.0,0.0,234.0,0.0,70973.0,71235.0,28.0,0.0,0.0
28764.0,6.0,7.0,0.0,11.0,0.0,0.0,0.0,234.0,0.0,70978.0,71236.0,24.0,0.0,0.0
28764.0,5.0,5.0,0.0,8.0,0.0,0.0,0.0,234.0,0.0,70984.0,71236.0,18.0,0.0,0.0
28764.0,2.0,3.0,0.0,10.0,0.0,0.0,0.0,234.0,0.0,70987.0,71236.0,15.0,0.0,0.0
28764.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,234.0,0.0,70988.0,71236.0,14.0,0.0,0.0
28764.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,234.0,0.0,70992.0,71236.0,10.0,0.0,0.0
28763.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,234.0,0.0,70996.0,71237.0,7.0,0.0,0.0
28763.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,234.0,0.0,71000.0,71237.0,3.0,0.0,0.0
28762.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,234.0,0.0,71000.0,71238.0,4.0,0.0,0.0
28762.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71002.0,71238.0,2.0,0.0,0.0
28762.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71002.0,71238.0,2.0,0.0,0.0
28762.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,234.0,0.0,71002.0,71238.0,2.0,0.0,0.0
28762.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,234.0,0.0,71002.0,71238.0,2.0,0.0,0.0
28762.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,234.0,0.0,71002.0,71238.0,2.0,0.0,0.0
28762.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71003.0,71238.0,1.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
28762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,71004.0,71238.0,0.0,0.0,0.0
