SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
99994.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
99994.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
99988.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0
99985.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,0.0,0.0
99982.0,6.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,16.0,0.0,0.0
99976.0,7.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,24.0,22.0,0.0,0.0
99974.0,5.0,9.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,26.0,21.0,0.0,0.0
99970.0,6.0,5.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,6.0,30.0,24.0,0.0,0.0
99962.0,9.0,7.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,8.0,38.0,30.0,0.0,0.0
99943.0,17.0,14.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,13.0,57.0,44.0,0.0,0.0
99927.0,22.0,23.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,15.0,73.0,58.0,0.0,0.0
99912.0,26.0,25.0,7.0,8.0,1.0,1.0,0.0,0.0,0.0,20.0,88.0,68.0,0.0,0.0
99907.0,26.0,27.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,23.0,93.0,70.0,0.0,0.0
99883.0,34.0,36.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,27.0,117.0,90.0,0.0,0.0
99862.0,38.0,44.0,6.0,17.0,4.0,0.0,0.0,0.0,0.0,29.0,138.0,109.0,0.0,0.0
99819.0,42.0,61.0,10.0,25.0,6.0,0.0,0.0,0.0,0.0,37.0,181.0,144.0,0.0,0.0
99786.0,43.0,77.0,14.0,26.0,7.0,0.0,0.0,0.0,0.0,47.0,214.0,167.0,0.0,0.0
99751.0,45.0,85.0,13.0,37.0,8.0,0.0,0.0,0.0,0.0,61.0,249.0,188.0,0.0,0.0
99707.0,52.0,100.0,15.0,42.0,9.0,1.0,0.0,0.0,0.0,74.0,293.0,219.0,0.0,0.0
99644.0,64.0,123.0,18.0,55.0,10.0,1.0,0.0,0.0,0.0,85.0,356.0,271.0,0.0,0.0
99565.0,74.0,138.0,20.0,76.0,14.0,1.0,0.0,0.0,0.0,112.0,435.0,323.0,0.0,0.0
99484.0,97.0,147.0,23.0,94.0,17.0,2.0,0.0,0.0,0.0,136.0,516.0,380.0,0.0,0.0
99367.0,122.0,192.0,29.0,102.0,19.0,0.0,1.0,0.0,0.0,168.0,633.0,465.0,0.0,0.0
99241.0,147.0,241.0,40.0,101.0,19.0,2.0,0.0,1.0,0.0,208.0,759.0,550.0,0.0,0.0
99117.0,171.0,261.0,48.0,125.0,20.0,1.0,0.0,1.0,0.0,256.0,883.0,626.0,0.0,0.0
98931.0,219.0,309.0,61.0,161.0,26.0,1.0,0.0,1.0,0.0,291.0,1069.0,777.0,0.0,0.0
98702.0,258.0,379.0,71.0,203.0,35.0,1.0,0.0,2.0,0.0,349.0,1298.0,947.0,0.0,0.0
98421.0,315.0,475.0,88.0,221.0,47.0,3.0,0.0,2.0,0.0,428.0,1579.0,1149.0,0.0,0.0
98103.0,367.0,581.0,103.0,278.0,48.0,3.0,0.0,2.0,0.0,515.0,1897.0,1380.0,0.0,0.0
97747.0,445.0,682.0,112.0,325.0,60.0,1.0,0.0,3.0,0.0,625.0,2253.0,1625.0,0.0,0.0
97310.0,513.0,821.0,126.0,397.0,76.0,0.0,0.0,3.0,0.0,754.0,2690.0,1933.0,0.0,0.0
96831.0,615.0,931.0,146.0,478.0,85.0,2.0,0.0,3.0,0.0,909.0,3169.0,2257.0,0.0,0.0
96175.0,757.0,1145.0,170.0,553.0,105.0,4.0,0.0,3.0,0.0,1088.0,3825.0,2734.0,0.0,0.0
95458.0,898.0,1360.0,197.0,658.0,131.0,2.0,0.0,3.0,0.0,1293.0,4542.0,3246.0,0.0,0.0
94631.0,1055.0,1604.0,219.0,788.0,150.0,5.0,1.0,3.0,0.0,1544.0,5369.0,3822.0,0.0,0.0
93688.0,1242.0,1842.0,269.0,939.0,164.0,10.0,0.0,4.0,0.0,1842.0,6312.0,4466.0,0.0,0.0
92565.0,1463.0,2122.0,328.0,1143.0,171.0,15.0,0.0,4.0,0.0,2189.0,7435.0,5242.0,0.0,0.0
91275.0,1759.0,2437.0,369.0,1314.0,204.0,13.0,0.0,6.0,0.0,2623.0,8725.0,6096.0,0.0,0.0
89854.0,2004.0,2754.0,403.0,1560.0,261.0,10.0,1.0,10.0,0.0,3143.0,10146.0,6993.0,0.0,0.0
88169.0,2302.0,3180.0,471.0,1792.0,298.0,20.0,0.0,12.0,0.0,3756.0,11831.0,8063.0,0.0,0.0
86249.0,2691.0,3637.0,539.0,2077.0,338.0,14.0,0.0,15.0,0.0,4440.0,13751.0,9296.0,0.0,0.0
84172.0,3028.0,4158.0,587.0,2367.0,389.0,19.0,1.0,16.0,0.0,5263.0,15828.0,10549.0,0.0,0.0
81892.0,3450.0,4614.0,631.0,2748.0,455.0,18.0,2.0,17.0,1.0,6172.0,18108.0,11919.0,0.0,0.0
79313.0,3867.0,5182.0,708.0,3095.0,525.0,18.0,2.0,19.0,0.0,7271.0,20687.0,13397.0,0.0,0.0
76620.0,4276.0,5647.0,801.0,3540.0,565.0,37.0,0.0,24.0,0.0,8490.0,23380.0,14866.0,0.0,0.0
73685.0,4689.0,6148.0,886.0,3991.0,635.0,35.0,0.0,25.0,0.0,9906.0,26315.0,16384.0,0.0,0.0
70747.0,5052.0,6519.0,956.0,4435.0,686.0,37.0,1.0,27.0,0.0,11540.0,29253.0,17686.0,0.0,0.0
67531.0,5433.0,6985.0,991.0,4908.0,807.0,41.0,1.0,31.0,1.0,13271.0,32469.0,19167.0,0.0,0.0
64263.0,5800.0,7249.0,1032.0,5369.0,875.0,55.0,3.0,34.0,0.0,15320.0,35737.0,20383.0,0.0,0.0
61005.0,6153.0,7455.0,1030.0,5758.0,948.0,62.0,4.0,40.0,0.0,17545.0,38995.0,21410.0,0.0,0.0
57855.0,6361.0,7599.0,1027.0,6143.0,989.0,71.0,2.0,45.0,1.0,19907.0,42145.0,22193.0,0.0,0.0
54887.0,6427.0,7557.0,976.0,6468.0,1039.0,75.0,2.0,51.0,2.0,22516.0,45113.0,22546.0,0.0,0.0
51927.0,6415.0,7471.0,957.0,6743.0,1078.0,75.0,6.0,63.0,0.0,25265.0,48073.0,22745.0,0.0,0.0
49168.0,6272.0,7181.0,917.0,6995.0,1090.0,77.0,5.0,73.0,3.0,28219.0,50832.0,22540.0,0.0,0.0
46618.0,6061.0,6872.0,893.0,7021.0,1048.0,78.0,4.0,80.0,2.0,31323.0,53382.0,21979.0,0.0,0.0
44246.0,5836.0,6508.0,843.0,7014.0,1018.0,74.0,6.0,88.0,1.0,34366.0,55754.0,21300.0,0.0,0.0
42145.0,5578.0,5980.0,740.0,6829.0,1018.0,75.0,7.0,97.0,3.0,37528.0,57855.0,20230.0,0.0,0.0
40312.0,5160.0,5473.0,669.0,6597.0,977.0,76.0,2.0,109.0,1.0,40624.0,59688.0,18955.0,0.0,0.0
38645.0,4768.0,4963.0,577.0,6294.0,955.0,78.0,5.0,115.0,0.0,43600.0,61355.0,17640.0,0.0,0.0
37179.0,4404.0,4431.0,501.0,5930.0,903.0,74.0,4.0,127.0,1.0,46446.0,62821.0,16248.0,0.0,0.0
35845.0,3983.0,3980.0,437.0,5420.0,816.0,85.0,3.0,132.0,1.0,49298.0,64155.0,14725.0,0.0,0.0
34742.0,3596.0,3454.0,389.0,5002.0,720.0,61.0,4.0,135.0,2.0,51895.0,65258.0,13228.0,0.0,0.0
33827.0,3206.0,2981.0,327.0,4568.0,647.0,66.0,7.0,145.0,1.0,54225.0,66173.0,11803.0,0.0,0.0
33016.0,2834.0,2543.0,293.0,4151.0,564.0,72.0,4.0,154.0,1.0,56368.0,66984.0,10462.0,0.0,0.0
32295.0,2500.0,2233.0,246.0,3600.0,502.0,64.0,10.0,159.0,1.0,58390.0,67705.0,9156.0,0.0,0.0
31723.0,2119.0,1959.0,209.0,3138.0,424.0,63.0,6.0,168.0,6.0,60185.0,68277.0,7924.0,0.0,0.0
31243.0,1800.0,1665.0,163.0,2720.0,370.0,55.0,3.0,178.0,1.0,61802.0,68757.0,6777.0,0.0,0.0
30820.0,1554.0,1404.0,128.0,2374.0,321.0,51.0,1.0,186.0,1.0,63160.0,69180.0,5834.0,0.0,0.0
30470.0,1354.0,1164.0,101.0,2099.0,272.0,54.0,5.0,193.0,0.0,64288.0,69530.0,5049.0,0.0,0.0
30149.0,1148.0,999.0,94.0,1779.0,233.0,34.0,3.0,203.0,1.0,65357.0,69851.0,4291.0,0.0,0.0
29893.0,1008.0,838.0,73.0,1514.0,192.0,34.0,3.0,206.0,2.0,66237.0,70107.0,3664.0,0.0,0.0
29661.0,868.0,726.0,67.0,1295.0,154.0,18.0,3.0,211.0,2.0,66995.0,70339.0,3133.0,0.0,0.0
29484.0,757.0,616.0,53.0,1089.0,116.0,23.0,3.0,213.0,3.0,67643.0,70516.0,2660.0,0.0,0.0
29327.0,613.0,545.0,47.0,912.0,88.0,13.0,2.0,216.0,1.0,68236.0,70673.0,2221.0,0.0,0.0
29205.0,528.0,453.0,37.0,766.0,77.0,14.0,1.0,218.0,0.0,68701.0,70795.0,1876.0,0.0,0.0
29113.0,455.0,361.0,33.0,647.0,70.0,4.0,2.0,219.0,1.0,69095.0,70887.0,1573.0,0.0,0.0
29019.0,393.0,297.0,29.0,560.0,58.0,10.0,0.0,222.0,0.0,69412.0,70981.0,1347.0,0.0,0.0
28957.0,311.0,234.0,21.0,486.0,49.0,7.0,1.0,222.0,0.0,69712.0,71043.0,1109.0,0.0,0.0
28901.0,261.0,192.0,18.0,406.0,41.0,7.0,0.0,222.0,1.0,69951.0,71099.0,926.0,0.0,0.0
28851.0,223.0,161.0,11.0,342.0,39.0,3.0,1.0,223.0,0.0,70146.0,71149.0,780.0,0.0,0.0
28810.0,187.0,147.0,10.0,263.0,29.0,3.0,1.0,225.0,0.0,70325.0,71190.0,640.0,0.0,0.0
28778.0,156.0,116.0,13.0,230.0,19.0,1.0,0.0,225.0,1.0,70461.0,71222.0,536.0,0.0,0.0
28743.0,130.0,104.0,10.0,185.0,22.0,0.0,0.0,225.0,0.0,70581.0,71257.0,451.0,0.0,0.0
28722.0,106.0,84.0,8.0,158.0,20.0,2.0,0.0,225.0,0.0,70675.0,71278.0,378.0,0.0,0.0
28705.0,79.0,70.0,8.0,135.0,15.0,2.0,0.0,225.0,0.0,70761.0,71295.0,309.0,0.0,0.0
28697.0,61.0,60.0,7.0,107.0,10.0,3.0,0.0,225.0,0.0,70830.0,71303.0,248.0,0.0,0.0
28687.0,50.0,48.0,4.0,83.0,6.0,3.0,0.0,225.0,0.0,70894.0,71313.0,194.0,0.0,0.0
28677.0,39.0,42.0,2.0,65.0,7.0,3.0,0.0,225.0,0.0,70940.0,71323.0,158.0,0.0,0.0
28676.0,29.0,30.0,1.0,50.0,7.0,3.0,0.0,226.0,0.0,70978.0,71324.0,120.0,0.0,0.0
28669.0,24.0,24.0,1.0,49.0,6.0,1.0,2.0,226.0,0.0,70998.0,71331.0,107.0,0.0,0.0
28666.0,19.0,17.0,0.0,46.0,5.0,1.0,0.0,226.0,2.0,71018.0,71334.0,90.0,0.0,0.0
28660.0,18.0,15.0,0.0,31.0,2.0,1.0,0.0,227.0,0.0,71046.0,71340.0,67.0,0.0,0.0
28658.0,16.0,9.0,0.0,29.0,2.0,0.0,0.0,227.0,0.0,71059.0,71342.0,56.0,0.0,0.0
