SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
87952.0,2399.0,3374.0,611.0,1747.0,391.0,19.0,0.0,14.0,0.0,3493.0,12048.0,8541.0,0.0,0.0,0.0
85850.0,2780.0,3888.0,712.0,2083.0,442.0,29.0,2.0,15.0,0.0,4199.0,14150.0,9936.0,0.0,0.0,0.0
83412.0,3191.0,4499.0,803.0,2497.0,521.0,29.0,2.0,20.0,1.0,5025.0,16588.0,11543.0,0.0,0.0,0.0
80865.0,3593.0,5105.0,896.0,2857.0,618.0,39.0,0.0,23.0,1.0,6003.0,19135.0,13109.0,0.0,0.0,0.0
77907.0,4126.0,5677.0,1043.0,3354.0,687.0,49.0,2.0,28.0,0.0,7127.0,22093.0,14938.0,0.0,0.0,0.0
74737.0,4622.0,6334.0,1163.0,3811.0,783.0,54.0,1.0,35.0,0.0,8460.0,25263.0,16768.0,0.0,0.0,0.0
71352.0,5077.0,6961.0,1268.0,4358.0,872.0,59.0,5.0,40.0,0.0,10008.0,28648.0,18600.0,0.0,0.0,0.0
67746.0,5648.0,7528.0,1352.0,4903.0,983.0,56.0,4.0,55.0,0.0,11725.0,32254.0,20474.0,0.0,0.0,0.0
64079.0,6120.0,7939.0,1413.0,5536.0,1099.0,61.0,2.0,66.0,2.0,13683.0,35921.0,22172.0,0.0,0.0,0.0
60134.0,6571.0,8414.0,1475.0,6080.0,1231.0,79.0,4.0,71.0,0.0,15941.0,39866.0,23854.0,0.0,0.0,0.0
56294.0,6955.0,8717.0,1508.0,6556.0,1353.0,90.0,2.0,79.0,2.0,18444.0,43706.0,25183.0,0.0,0.0,0.0
52489.0,7169.0,8875.0,1541.0,7069.0,1441.0,101.0,7.0,87.0,0.0,21221.0,47511.0,26203.0,0.0,0.0,0.0
48905.0,7263.0,8840.0,1468.0,7527.0,1553.0,112.0,13.0,101.0,1.0,24217.0,51095.0,26777.0,0.0,0.0,0.0
45373.0,7253.0,8809.0,1448.0,7736.0,1596.0,134.0,8.0,120.0,2.0,27521.0,54627.0,26986.0,0.0,0.0,0.0
42199.0,7139.0,8478.0,1381.0,8054.0,1626.0,128.0,6.0,144.0,3.0,30842.0,57801.0,26815.0,0.0,0.0,0.0
39171.0,7007.0,8038.0,1272.0,8283.0,1654.0,158.0,3.0,165.0,2.0,34247.0,60829.0,26417.0,0.0,0.0,0.0
36374.0,6711.0,7513.0,1168.0,8364.0,1657.0,179.0,9.0,184.0,1.0,37840.0,63626.0,25602.0,0.0,0.0,0.0
33852.0,6418.0,7053.0,1067.0,8124.0,1596.0,187.0,11.0,205.0,1.0,41486.0,66148.0,24457.0,0.0,0.0,0.0
31745.0,6002.0,6338.0,982.0,7719.0,1490.0,200.0,20.0,238.0,1.0,45265.0,68255.0,22752.0,0.0,0.0,0.0
29852.0,5491.0,5586.0,846.0,7331.0,1444.0,205.0,16.0,270.0,7.0,48952.0,70148.0,20926.0,0.0,0.0,0.0
28143.0,5032.0,4944.0,746.0,6865.0,1335.0,186.0,12.0,310.0,2.0,52425.0,71857.0,19122.0,0.0,0.0,0.0
26691.0,4578.0,4366.0,644.0,6340.0,1212.0,204.0,13.0,347.0,3.0,55602.0,73309.0,17360.0,0.0,0.0,0.0
25438.0,4068.0,3808.0,580.0,5758.0,1087.0,187.0,15.0,376.0,3.0,58680.0,74562.0,15506.0,0.0,0.0,0.0
24392.0,3572.0,3293.0,493.0,5187.0,980.0,174.0,12.0,408.0,8.0,61481.0,75608.0,13719.0,0.0,0.0,0.0
23513.0,3140.0,2847.0,424.0,4555.0,846.0,169.0,18.0,443.0,1.0,64044.0,76487.0,12000.0,0.0,0.0,0.0
22720.0,2771.0,2408.0,353.0,4010.0,745.0,166.0,9.0,486.0,3.0,66329.0,77280.0,10465.0,0.0,0.0,0.0
22139.0,2396.0,2009.0,303.0,3469.0,632.0,144.0,9.0,516.0,2.0,68381.0,77861.0,8964.0,0.0,0.0,0.0
21617.0,2053.0,1681.0,253.0,3035.0,551.0,112.0,10.0,548.0,2.0,70138.0,78383.0,7697.0,0.0,0.0,0.0
21174.0,1716.0,1423.0,213.0,2583.0,483.0,103.0,16.0,571.0,1.0,71717.0,78826.0,6538.0,0.0,0.0,0.0
20772.0,1483.0,1213.0,175.0,2202.0,408.0,86.0,11.0,594.0,2.0,73054.0,79228.0,5580.0,0.0,0.0,0.0
20464.0,1259.0,1032.0,135.0,1838.0,359.0,79.0,14.0,612.0,3.0,74205.0,79536.0,4719.0,0.0,0.0,0.0
20171.0,1079.0,885.0,107.0,1555.0,294.0,67.0,10.0,630.0,3.0,75199.0,79829.0,4000.0,0.0,0.0,0.0
19940.0,893.0,773.0,79.0,1308.0,257.0,58.0,3.0,647.0,4.0,76038.0,80060.0,3375.0,0.0,0.0,0.0
19763.0,751.0,652.0,78.0,1123.0,206.0,45.0,9.0,654.0,1.0,76718.0,80237.0,2865.0,0.0,0.0,0.0
19599.0,641.0,532.0,61.0,954.0,174.0,37.0,4.0,668.0,1.0,77329.0,80401.0,2404.0,0.0,0.0,0.0
19463.0,543.0,444.0,50.0,830.0,143.0,35.0,2.0,676.0,1.0,77813.0,80537.0,2048.0,0.0,0.0,0.0
19349.0,466.0,369.0,43.0,688.0,115.0,32.0,4.0,684.0,0.0,78250.0,80651.0,1717.0,0.0,0.0,0.0
19263.0,391.0,307.0,41.0,578.0,92.0,25.0,2.0,690.0,1.0,78610.0,80737.0,1437.0,0.0,0.0,0.0
19190.0,311.0,260.0,30.0,476.0,79.0,23.0,2.0,697.0,0.0,78932.0,80810.0,1181.0,0.0,0.0,0.0
19134.0,257.0,216.0,28.0,400.0,58.0,20.0,2.0,702.0,1.0,79182.0,80866.0,982.0,0.0,0.0,0.0
19081.0,219.0,175.0,20.0,349.0,49.0,15.0,1.0,705.0,1.0,79385.0,80919.0,829.0,0.0,0.0,0.0
19035.0,181.0,144.0,16.0,277.0,42.0,10.0,0.0,710.0,0.0,79585.0,80965.0,670.0,0.0,0.0,0.0
18996.0,142.0,117.0,15.0,245.0,38.0,7.0,1.0,713.0,0.0,79726.0,81004.0,565.0,0.0,0.0,0.0
18966.0,124.0,99.0,14.0,210.0,31.0,6.0,1.0,714.0,0.0,79835.0,81034.0,485.0,0.0,0.0,0.0
18934.0,102.0,97.0,13.0,172.0,18.0,9.0,0.0,718.0,0.0,79937.0,81066.0,411.0,0.0,0.0,0.0
