SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE
90984.0,1790.0,2606.0,433.0,1314.0,302.0,15.0,1.0,9.0,0.0,2546.0,9016.0,6461.0,0.0,0.0,300.0
89351.0,2136.0,3004.0,521.0,1550.0,338.0,14.0,0.0,11.0,0.0,3075.0,10649.0,7563.0,0.0,0.0,300.0
87511.0,2513.0,3491.0,599.0,1805.0,358.0,21.0,0.0,11.0,0.0,3691.0,12489.0,8787.0,0.0,0.0,300.0
85494.0,2847.0,3952.0,674.0,2172.0,423.0,21.0,3.0,14.0,0.0,4400.0,14506.0,10092.0,0.0,0.0,300.0
83212.0,3233.0,4523.0,742.0,2496.0,486.0,38.0,1.0,17.0,1.0,5251.0,16788.0,11520.0,0.0,0.0,300.0
80611.0,3706.0,5024.0,855.0,2952.0,559.0,37.0,4.0,20.0,0.0,6232.0,19389.0,13137.0,0.0,0.0,300.0
77776.0,4188.0,5628.0,939.0,3385.0,633.0,53.0,3.0,29.0,0.0,7366.0,22224.0,14829.0,0.0,0.0,300.0
74752.0,4669.0,6191.0,1009.0,3888.0,715.0,44.0,3.0,35.0,2.0,8692.0,25248.0,16521.0,0.0,0.0,300.0
71514.0,5122.0,6665.0,1098.0,4445.0,824.0,36.0,3.0,42.0,1.0,10250.0,28486.0,18194.0,0.0,0.0,300.0
68211.0,5524.0,7138.0,1175.0,4930.0,951.0,40.0,5.0,47.0,2.0,11977.0,31789.0,19765.0,0.0,0.0,300.0
64640.0,5959.0,7605.0,1237.0,5416.0,1036.0,49.0,4.0,54.0,1.0,13999.0,35360.0,21307.0,0.0,0.0,300.0
61099.0,6304.0,7942.0,1243.0,5894.0,1130.0,61.0,1.0,60.0,0.0,16266.0,38901.0,22575.0,0.0,0.0,300.0
57547.0,6586.0,8184.0,1288.0,6328.0,1216.0,71.0,3.0,65.0,1.0,18711.0,42453.0,23677.0,0.0,0.0,300.0
54024.0,6736.0,8255.0,1318.0,6754.0,1285.0,92.0,4.0,68.0,2.0,21462.0,45976.0,24446.0,0.0,0.0,300.0
50543.0,6880.0,8271.0,1332.0,7234.0,1345.0,97.0,7.0,76.0,1.0,24214.0,49457.0,25167.0,0.0,0.0,300.0
47384.0,6840.0,8112.0,1268.0,7474.0,1382.0,130.0,5.0,88.0,2.0,27315.0,52616.0,25213.0,0.0,0.0,300.0
44353.0,6786.0,7766.0,1206.0,7589.0,1412.0,125.0,4.0,104.0,2.0,30653.0,55647.0,24890.0,0.0,0.0,300.0
41603.0,6641.0,7304.0,1158.0,7718.0,1421.0,142.0,5.0,121.0,1.0,33886.0,58397.0,24390.0,0.0,0.0,300.0
39102.0,6337.0,6854.0,1093.0,7659.0,1393.0,139.0,4.0,145.0,2.0,37272.0,60898.0,23481.0,0.0,0.0,300.0
36803.0,6013.0,6420.0,996.0,7434.0,1341.0,134.0,6.0,161.0,2.0,40690.0,63197.0,22346.0,0.0,0.0,300.0
34788.0,5584.0,5747.0,847.0,7258.0,1337.0,132.0,10.0,180.0,4.0,44113.0,65212.0,20919.0,0.0,0.0,300.0
32980.0,5115.0,5246.0,737.0,6764.0,1266.0,155.0,4.0,201.0,0.0,47532.0,67020.0,19287.0,0.0,0.0,300.0
31443.0,4622.0,4678.0,645.0,6342.0,1173.0,152.0,11.0,217.0,3.0,50714.0,68557.0,17626.0,0.0,0.0,300.0
30080.0,4196.0,4126.0,571.0,5833.0,1058.0,125.0,6.0,240.0,4.0,53761.0,69920.0,15919.0,0.0,0.0,300.0
28967.0,3763.0,3519.0,480.0,5410.0,974.0,125.0,13.0,259.0,0.0,56490.0,71033.0,14284.0,0.0,0.0,300.0
27983.0,3333.0,3070.0,422.0,4855.0,851.0,131.0,10.0,279.0,3.0,59063.0,72017.0,12675.0,0.0,0.0,300.0
27156.0,2947.0,2628.0,354.0,4282.0,735.0,142.0,8.0,307.0,4.0,61437.0,72844.0,11100.0,0.0,0.0,300.0
26449.0,2591.0,2212.0,294.0,3810.0,624.0,127.0,12.0,328.0,1.0,63552.0,73551.0,9671.0,0.0,0.0,300.0
25879.0,2264.0,1872.0,259.0,3294.0,537.0,109.0,8.0,351.0,4.0,65423.0,74121.0,8347.0,0.0,0.0,300.0
25362.0,1924.0,1613.0,207.0,2841.0,480.0,90.0,7.0,377.0,0.0,67099.0,74638.0,7162.0,0.0,0.0,300.0
24913.0,1698.0,1384.0,175.0,2444.0,407.0,83.0,10.0,392.0,3.0,68491.0,75087.0,6204.0,0.0,0.0,300.0
24569.0,1428.0,1164.0,129.0,2055.0,362.0,70.0,7.0,406.0,4.0,69806.0,75431.0,5219.0,0.0,0.0,300.0
24268.0,1242.0,986.0,114.0,1769.0,304.0,65.0,8.0,421.0,3.0,70820.0,75732.0,4491.0,0.0,0.0,300.0
23971.0,1051.0,862.0,103.0,1482.0,256.0,58.0,6.0,434.0,1.0,71776.0,76029.0,3819.0,0.0,0.0,300.0
23783.0,891.0,714.0,96.0,1269.0,203.0,44.0,3.0,450.0,1.0,72546.0,76217.0,3221.0,0.0,0.0,300.0
23602.0,740.0,598.0,82.0,1077.0,165.0,43.0,6.0,460.0,0.0,73227.0,76398.0,2711.0,0.0,0.0,300.0
